sub_402EF0	test: test: COMPRESS FAILED (rc=1)
sub_412E60	build: inc/sub_412E60.inc:321:14: error: invalid operands of types ‘uint32’ {aka ‘unsigned int’} and ‘short unsigned int*’ to b
sub_413430	test: test: STREAM DIFFERS from reference
sub_413900	test: test: STREAM DIFFERS from reference
sub_414060	test: test: DECOMPRESS FAILED (rc=4)
sub_414F60	build: inc/sub_414F60.inc:72:14: error: cannot convert ‘char*’ to ‘uint16*’ {aka ‘short unsigned int*’} in assignment
sub_4159E0	test: test: COMPRESS FAILED (rc=1)
sub_417980	test: test: COMPRESS FAILED (rc=1)
sub_418650	test: test: DECOMPRESS FAILED (rc=1)
sub_419430	test: test: DECOMPRESS FAILED (rc=1)
sub_417E80	build: inc/sub_417E80.inc:445:21: error: cannot convert ‘char*’ to ‘uint32*’ {aka ‘unsigned int*’} in assignment
sub_41C4B0	test: test: COMPRESS FAILED (rc=1)
sub_4229E0	test: test: COMPRESS FAILED (rc=1)
sub_424550	test: test: STREAM DIFFERS from reference
sub_424D90	build: inc/sub_424D90.inc:415:28: error: cannot convert ‘unsigned char**’ to ‘uint32*’ {aka ‘unsigned int*’}
sub_42AB20	test: test: COMPRESS FAILED (rc=1)
sub_42B0C0	test: test: DECOMPRESS FAILED (rc=1)
