00401000	_main
004015C0	sub_4015C0
004022C0	sub_4022C0
00402590	sub_402590
004028B0	sub_4028B0
00402BD0	sub_402BD0
00402DF0	sub_402DF0
00402E10	sub_402E10
00402E30	sub_402E30
00402E40	exit_402E40
00402E70	sub_402E70
00402EB0	sub_402EB0
00402EF0	sub_402EF0
00402FB0	sub_402FB0
00402FE0	sub_402FE0
00403820	sub_403820
004043E0	sub_4043E0
00405840	sub_405840
00405CF0	sub_405CF0
00407460	sub_407460
00407B30	sub_407B30
00407EF0	sub_407EF0
004081E0	sub_4081E0
00408510	sub_408510
0040A8A0	sub_40A8A0
0040AE10	sub_40AE10
0040AF40	sub_40AF40
0040B330	sub_40B330
0040BBC0	sub_40BBC0
0040BEE0	sub_40BEE0
0040CB70	sub_40CB70
0040CC50	sub_40CC50
0040CF80	sub_40CF80
0040DEB0	sub_40DEB0
0040E4D0	sub_40E4D0
0040E590	sub_40E590
0040E860	sub_40E860
0040F450	sub_40F450
0040FAC0	sub_40FAC0
00410310	sub_410310
00410650	sub_410650
004108C0	sub_4108C0
00410AC0	sub_410AC0
004111B0	sub_4111B0
00411700	sub_411700
004118A0	sub_4118A0
00411E90	sub_411E90
00411FD0	sub_411FD0
00412110	sub_412110
00412280	sub_412280
00412300	sub_412300
00412340	sub_412340
004123E0	sub_4123E0
00412490	sub_412490
00412850	sub_412850
00412B10	sub_412B10
00412E60	sub_412E60
00413230	sub_413230
00413430	sub_413430
00413560	sub_413560
004135A0	sub_4135A0
00413900	sub_413900
00413E60	sub_413E60
00414060	sub_414060
00414390	sub_414390
00414620	sub_414620
00414800	sub_414800
00414860	sub_414860
004148F0	sub_4148F0
00414920	sub_414920
004149C0	sub_4149C0
00414CE0	sub_414CE0
00414F60	sub_414F60
00415270	sub_415270
00415380	sub_415380
004159E0	sub_4159E0
00416860	sub_416860
00416C90	sub_416C90
00417200	sub_417200
00417980	sub_417980
00417DB0	sub_417DB0
00417E80	sub_417E80
00418650	sub_418650
00419430	sub_419430
00419610	sub_419610
00419680	sub_419680
004197A0	sub_4197A0
00419800	sub_419800
0041A130	sub_41A130
0041C4B0	sub_41C4B0
0041CAB0	sub_41CAB0
00421930	sub_421930
004229E0	sub_4229E0
00422D60	sub_422D60
00422DB0	sub_422DB0
00423600	sub_423600
004244A0	sub_4244A0
00424500	sub_424500
00424550	sub_424550
004248D0	sub_4248D0
00424D90	sub_424D90
004256F0	sub_4256F0
004259F0	sub_4259F0
004273F0	sub_4273F0
00427740	sub_427740
00427F40	sub_427F40
00428050	sub_428050
004280B0	sub_4280B0
004284E0	sub_4284E0
0042851C	sub_42851C
00428AA0	sub_428AA0
00428B00	sub_428B00
00428B60	sub_428B60
00428BE0	sub_428BE0
00428C40	sub_428C40
004293B0	sub_4293B0
004294D0	sub_4294D0
004295E0	sub_4295E0
00429740	sub_429740
00429840	sub_429840
00429C80	sub_429C80
00429DB0	sub_429DB0
00429E80	sub_429E80
0042A350	sub_42A350
0042A4E0	sub_42A4E0
0042AB20	sub_42AB20
0042B0C0	sub_42B0C0
0042B830	sub_42B830
0042B990	sub_42B990
0042BA40	sub_42BA40
0042BB20	sub_42BB20
0042BBD0	sub_42BBD0
0042BC50	sub_42BC50
0042C090	sub_42C090
0042C0B0	sub_42C0B0
0042C220	sub_42C220
0042CAD0	sub_42CAD0
0042CBB0	sub_42CBB0
0042CBC0	__callnewh
0042CBDB	_printf
0042CC10	_strrchr
0042CC37	_toupper
0042CD03	_atol
0042CD8E	_atoi
0042CD99	__fsopen
0042CDB9	_fopen
0042CDCC	_fread
0042CEB4	_fclose
0042CF0A	??2@YAPAXI@Z
0042CF18	??3@YAXPAX@Z
0042CF23	_remove
0042CF4D	_sprintf
0042CF9F	_fwrite
0042D0A9	_fputc
0042D0CD	_putc
0042D0DD	_fseek
0042D169	_isdigit
0042D191	_isspace
0042D1B9	_vprintf
0042D1E9	__cinit
0042D216	_exit
0042D227	__exit
0042D238	_doexit
0042D2D1	__initterm
0042D2EB	__fpmath
0042D302	nullsub_1
0042D303	__cfltcvt_init
0042D33B	_feof
0042D346	_ferror
0042D351	_fflush
0042D38C	__flush
0042D3E8	_flsall_w
0042D3F1	_flsall
0042D460	__alloca_probe
0042D490	__alldiv
0042D53A	start
0042D619	__amsg_exit
0042D63E	_fast_error_exit
0042D661	nullsub_2
0042D662	_sscanf
0042D696	_fgets
0042D6F0	_strncpy
0042D7F0	_memcpy
0042DB25	_tmpnam
0042DB74	_init_namebuf
0042DBD5	_genfname
0042DC1B	_rename
0042DC49	_fputs
0042DC8C	_fprintf
0042DCD0	_strchr
0042DD8C	_ftell
0042DEE4	_fscanf
0042DEFA	__stbuf
0042DF87	__ftbuf
0042DFC4	__output
0042E705	_write_char
0042E73A	_write_multi_char
0042E76B	_write_string
0042E7A3	_get_int_arg
0042E7B0	_get_int64_arg
0042E7C0	_get_short_arg
0042E7CE	___initstdio
0042E873	___endstdio
0042E887	___crtLCMapStringA
0042EAAB	_strncnt
0042EAD6	__isctype
0042EB50	__allmul
0042EB84	__openfile
0042ECF4	__getstream
0042ED6C	__filbuf
0042EE45	__read
0042F040	_memcpy_0
0042F375	_free
0042F3A4	__close
0042F457	__freebuf
0042F482	_malloc
0042F494	__nh_malloc
0042F4C0	__heap_alloc
0042F4F6	__dosmaperr
0042F55D	__flsbuf
0042F672	__write
0042F81F	__lseek
0042F8B9	__setdefaultprecision
0042F8CB	__ms_p5_test_fdiv
0042F909	__ms_p5_mp_test_fdiv
0042F932	__forcdecpt
0042F9F2	__fassign
0042FA30	__cftoe
0042FB34	__cftof
0042FC12	__cftog
0042FCAD	__cftoe_g
0042FCD4	__cftof_g
0042FCF7	__cfltcvt
0042FD48	__shift
0042FD6D	__commit
0042FDC4	__XcptFilter
0042FF05	_xcptlookup
0042FF48	__setenvp
00430001	__setargv
0043009A	_parse_cmdline
0043024E	___crtGetEnvironmentStringsA
00430380	__ioinit
0043052B	__heap_init
00430568	__global_unwind2
00430588	__unwind_handler
004305AA	__local_unwind2
00430612	__abnormal_termination
00430635	__NLG_Notify1
0043063E	__NLG_Notify
00430660	__except_handler3
0043071D	_seh_longjmp_unwind(x)
00430738	__FF_MSGBANNER
00430771	__NMSG_WRITE
004308C4	__input
004312E9	__hextodec
00431320	_fgetc
0043133A	__un_inc
00431351	__whiteout
00431380	_strlen
00431400	_strcpy
00431410	_strcat
004314F0	__access
00431534	__sopen
004317ED	_xtoa
00431849	__ultoa
00431864	GetCurrentProcessId
0043186A	_strtoxl
00431A72	_strtoul
00431A89	__mbsrchr
00431AE9	__rmtmp
00431B25	__isatty
00431B4B	_wctomb
00431BC0	__aulldiv
00431C30	__aullrem
00431CA5	_calloc
00431D22	__fcloseall
00431D7A	___crtGetStringTypeA
00431EC3	__getbuf
00431F07	___sbh_heap_init
00431F45	___sbh_find_block
00431F70	___sbh_free_block
0043229B	___sbh_alloc_block
004325A4	___sbh_alloc_new_region
00432655	___sbh_alloc_new_group
00432750	__alloc_osfhnd
004327E5	__set_osfhnd
0043285C	__free_osfhnd
004328D6	__get_osfhandle
00432913	__control87
00432948	__controlfp
0043295E	__abstract_cw
004329F0	__hw_cw
00432A79	_tolower
00432B44	__ZeroTail
00432B8D	__IncMan
00432BE3	__RoundMan
00432C6F	__CopyMan
00432C8A	__FillZeroMan
00432C96	__IsZeroMan
00432CB1	__ShrMan
00432D3E	__ld12cvt
00432EAA	__ld12cvt_w
00432EC0	__ld12cvt_w_0
00432ED6	__atodbl
00432F03	__atodbl_0
00432F30	__fptostr
00432FA7	__fltout
0043300B	___dtold
004330D0	_memset
00433128	__fptrap
00433131	__setmbcp
004332CA	_getSystemCP
00433314	_CPtoLCID
00433347	_setSBCS
00433370	_setSBUpLow
004334F5	___initmbctable
00433511	___crtMessageBoxA
0043359A	_mbtowc
00433670	__allshl
0043368F	_ungetc
004336FD	__chsize
00433843	___addl
00433864	___add_12
004338C2	___shl_12
004338F0	___shr_12
0043391D	___mtold12
004339E4	___strgtold12
00433EB5	_$I10_OUTPUT
00434148	__setmode
004341BE	___ld12mul
004343DE	___multtenpow12
00434460	___libm_sse2_log
00434690	___intel_new_proc_init
004346D0	sub_4346D0
00434930	___intel_sse2_strlen
00434980	sub_434980
004349F0	sub_4349F0
00434A30	sub_434A30
00434C00	_irc__get_msg
00434D40	_irc__print
004350A0	sub_4350A0
00436BD0	sub_436BD0
00436DC0	___svml_log2_w
00436DD0	___svml_log2
00436E10	sub_436E10
00437810	RtlUnwind
00437816	_vsprintf
00437870	__strcmpi
004378FC	__getch
004379CD	__getextendedkeycode
00437A8D	__fileno
00437A95	__filelength
00437B0D	___initconin
00437B2C	___termcon
