00438000	FindFirstFileA
00438004	FindNextFileA
00438008	DosDateTimeToFileTime
0043800C	CreateFileA
00438010	SetFileTime
00438014	CloseHandle
00438018	SetFileAttributesA
0043801C	FileTimeToDosDateTime
00438020	VirtualFree
00438024	VirtualAlloc
00438028	GetLastError
0043802C	DeleteFileA
00438030	ExitProcess
00438034	TerminateProcess
00438038	GetCurrentProcess
0043803C	GetCommandLineA
00438040	GetVersion
00438044	MoveFileA
00438048	WideCharToMultiByte
0043804C	MultiByteToWideChar
00438050	LCMapStringA
00438054	LCMapStringW
00438058	ReadFile
0043805C	HeapFree
00438060	HeapAlloc
00438064	WriteFile
00438068	SetFilePointer
0043806C	GetProcAddress
00438070	GetModuleHandleA
00438074	FlushFileBuffers
00438078	UnhandledExceptionFilter
0043807C	GetModuleFileNameA
00438080	FreeEnvironmentStringsA
00438084	FreeEnvironmentStringsW
00438088	GetEnvironmentStrings
0043808C	GetEnvironmentStringsW
00438090	SetHandleCount
00438094	GetStdHandle
00438098	GetFileType
0043809C	GetStartupInfoA
004380A0	HeapDestroy
004380A4	HeapCreate
004380A8	RtlUnwind
004380AC	GetFileAttributesA
004380B0	GetCurrentProcessId
004380B4	GetStringTypeA
004380B8	GetStringTypeW
004380BC	HeapReAlloc
004380C0	SetStdHandle
004380C4	GetCPInfo
004380C8	GetACP
004380CC	GetOEMCP
004380D0	LoadLibraryA
004380D4	SetEndOfFile
004380D8	GetThreadLocale
004380DC	FormatMessageA
004380E0	ReadConsoleInputA
004380E4	SetConsoleMode
004380E8	GetConsoleMode
